LOSS_INDEX,NDBP_INDEX,NG_INDEX,SEED
0,0,8,42
0,0,8,69
0,0,9,42
0,0,9,69
0,0,10,42
0,0,10,69
0,3,5,42
0,3,5,69
1,0,6,42
1,0,6,69
1,0,7,42
1,0,7,69
1,0,8,42
1,0,8,69
1,0,9,42
1,0,9,69
1,0,10,42
1,0,10,69
2,0,8,42
2,0,8,69
2,0,9,42
2,0,9,69
2,0,10,42
2,0,10,69
2,1,3,42
2,1,3,69
2,1,4,42
2,1,4,69
2,1,5,42
2,1,5,69
2,1,6,42
2,1,6,69
2,1,7,42
2,1,7,69
2,1,8,42
2,1,8,69
2,1,9,42
2,1,9,69
2,1,10,42
2,1,10,69
2,2,0,42
2,2,0,69
2,2,1,42
2,2,1,69
2,2,2,42
2,2,2,69
2,2,3,42
2,2,3,69
2,2,4,42
2,2,4,69
2,2,5,42
2,2,5,69
2,2,6,42
2,2,6,69
2,2,7,42
2,2,7,69
3,0,7,42
3,0,7,69
3,0,8,42
3,0,8,69
3,0,9,42
3,0,9,69
3,0,10,42
3,0,10,69
3,3,10,42
3,3,10,69
4,0,6,42
4,0,6,69
4,0,8,42
4,0,8,69
4,0,9,42
4,0,9,69
4,0,10,42
4,0,10,69
5,0,8,42
5,0,8,69
5,0,9,42
5,0,9,69
5,0,10,42
5,0,10,69
5,1,9,42
5,1,9,69
6,0,8,42
6,0,8,69
6,0,9,42
6,0,9,69
6,0,10,42
6,0,10,69
7,0,7,42
7,0,7,69
7,0,8,42
7,0,8,69
7,0,9,42
7,0,9,69
7,0,10,42
7,0,10,69
8,0,7,42
8,0,7,69
8,0,8,42
8,0,8,69
8,0,9,42
8,0,9,69
8,0,10,42
8,0,10,69
9,0,7,42
9,0,7,69
9,0,8,42
9,0,8,69
9,0,9,42
9,0,9,69
9,0,10,42
9,0,10,69
10,0,7,42
10,0,7,69
10,0,8,42
10,0,8,69
10,0,9,42
10,0,9,69
10,0,10,42
10,0,10,69
10,1,9,42
10,1,9,69
11,0,7,42
11,0,7,69
11,0,8,42
11,0,8,69
11,0,9,42
11,0,9,69
11,0,10,42
11,0,10,69
11,1,6,42
11,1,6,69
11,1,9,42
11,1,9,69
11,3,10,42
11,3,10,69
12,0,2,42
12,0,2,69
12,0,7,42
12,0,7,69
12,0,8,42
12,0,8,69
12,0,9,42
12,0,9,69
12,0,10,42
12,0,10,69
12,1,9,42
12,1,9,69
12,3,10,42
12,3,10,69
12,4,7,42
12,4,7,69
13,0,8,42
13,0,8,69
13,0,9,42
13,0,9,69
13,0,10,42
13,0,10,69
13,1,9,42
13,1,9,69
13,1,10,42
13,1,10,69
13,2,3,42
13,2,3,69
13,2,10,42
13,2,10,69
